graph_id,algorithm,vertices,total_cost,execution_time_ms,operations_count
1,Prim,5,132,3.617,8
1,Kruskal,5,132,6.0984,6
2,Prim,10,291,0.1288,27
2,Kruskal,10,291,0.06,17
3,Prim,15,349,0.2317,63
3,Kruskal,15,349,0.1501,35
4,Prim,20,518,0.2706,89
4,Kruskal,20,518,0.1733,51
5,Prim,25,583,0.1881,91
5,Kruskal,25,583,0.1724,64
6,Prim,30,1115,0.2036,102
6,Kruskal,30,1115,0.1332,59
7,Prim,55,1642,0.4158,221
7,Kruskal,55,1642,1.4511,117
8,Prim,80,1752,0.6938,353
8,Kruskal,80,1752,0.6719,207
9,Prim,110,2174,1.1063,497
9,Kruskal,110,2174,1.0223,312
10,Prim,140,3544,1.4716,583
10,Kruskal,140,3544,1.4075,306
11,Prim,170,3743,1.8487,781
11,Kruskal,170,3743,1.5468,446
12,Prim,200,5300,1.1402,715
12,Kruskal,200,5300,1.1702,398
13,Prim,230,3960,1.2392,1226
13,Kruskal,230,3960,1.386,674
14,Prim,260,5226,1.0747,1256
14,Kruskal,260,5226,1.1419,701
15,Prim,300,6425,1.0672,1427
15,Kruskal,300,6425,1.2671,836
16,Prim,320,8545,1.1157,1208
16,Kruskal,320,8545,0.7975,672
17,Prim,380,9711,1.1927,1577
17,Kruskal,380,9711,1.1262,877
18,Prim,440,9132,1.7544,2309
18,Kruskal,440,9132,1.198,1211
19,Prim,520,14240,1.4188,2070
19,Kruskal,520,14240,1.2929,1090
20,Prim,600,13386,2.0754,3123
20,Kruskal,600,13386,1.7011,1644
21,Prim,680,17240,2.8647,2848
21,Kruskal,680,17240,2.3568,1520
22,Prim,760,22384,2.0422,3092
22,Kruskal,760,22384,1.7894,1556
23,Prim,840,18995,5.0141,4061
23,Kruskal,840,18995,2.7177,2175
24,Prim,920,19030,4.3549,5003
24,Kruskal,920,19030,2.0245,2708
25,Prim,1000,19770,2.204,5670
25,Kruskal,1000,19770,2.0497,2947
26,Prim,1100,29740,1.2282,4454
26,Kruskal,1100,29740,1.6018,2286
27,Prim,1500,37466,1.8486,6643
27,Kruskal,1500,37466,3.1856,3424
28,Prim,1900,41328,4.57,10163
28,Kruskal,1900,41328,4.4489,5393